Job Title,Job Type,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Company URL,Recommend Job
Data Scientist/ Sr Data Scientist,Job Type : Full-time,₹276K - ₹470K (Glassdoor est.),"What makes Gartner a GREAT fit for you? When you join Gartner, you’ll be part of a team with a no-limits mindset that helps the world become smarter and more connected. We’re the world’s leading research and advisory company that steers clients toward the right decisions with business and technology insights they can’t find anywhere else. Our associates enjoy a collaborative work environment with exceptional training and career development. If you like working with a curious, supportive, high-performing team, Gartner is the place for you.
Interested in learning more, view and register for any of our upcoming recruiting events here!
About the team:
This is a unique opportunity for a creative and charismatic individual to lead a team of data scientists of a data science research and product development team for Gartner Digital Products and Innovations Group, a fast-growing data science organization. Our mission is to drive increasing business impact by building world class data science practices. We are looking for a Senior data scientist to partner with product managers, business analysts and data engineers to build and launch Machine Learning and Artificial Intelligence Business capabilities related to search and other digital experiences. The person is expected to manage, mentor and help develop junior data science staffs.
Job Requisition ID:50864",3.9,Gartner,Gurgaon,-1,201 to 500 Employees,2011,Company - Private,Consulting,Business Services,$1 to $5 million (USD),http://www.innoplexus.com/,76 %
Associate Data Scientist,Job Type : Full-time,"₹911K - ₹1,028K (Glassdoor est.)","Job Location – Pune – India
Required experience – 2+ Years
Innoplexus offers Data as a Service and Continuous Analytics as a Service products, leveraging Artificial Intelligence and advanced analytics to help reduce the time to market, significantly.
Our products leverage proprietary algorithms and patent pending technologies to help global Life sciences & Financial services organizations with access to relevant data, real time intelligence & intuitive insights, across the life cycle of the products.
We automate the collection, curation, aggregation, analysis & visualization, of billions of data points from thousands of data sources, using domain-specific language processing, ontologies, computer vision, machine learning, network analysis and more.",3.9,"Innoplexus
3.9",Pune,-1,1001 to 5000 Employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://corporate.payu.com/,70 %
Data Scientist-1,Job Type : Full-time,₹608K (Glassdoor est.),"Description:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.
Behind one of the world’s best-loved brands is a uniquely capable and brilliant team of data scientists, engineers and
analysts. The Target Data Science & Analytics team creates the tools and data products to sustainably educate and enable
our business partners to make great data-based decisions. We help develop the technology that personalizes the guest
experience, from product recommendations to relevant ad content. We are also the source of the data and analytics behind

Qualifications:",4.3,"TARGET
4.3",Bangalore,-1,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD),http://www.target.com/,70 %
Software Engineer – Data Scientists,Job Type : Full-time,₹240K - ₹545K (Glassdoor est.),"Summary:
Data Engineer with Machine Learning/Spark/Scala and Java.
Responsibilities:
Required Skills:
Big Data experience,
3+ year experience in Java, Python and Scala, Spark and Machine Learning,
Data mining, Data analysis
Desirable Skills:",3.5,"PatientMD
3.5",Calcutta,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.patientmd.com/,69 %
Software Engineer – Data Scientists,Job Type : Full-time,₹240K - ₹545K (Glassdoor est.),"Summary:
Data Engineer with Machine Learning/Spark/Scala and Java.
Responsibilities:
Required Skills:
Big Data experience,
3+ year experience in Java, Python and Scala, Spark and Machine Learning,
Data mining, Data analysis
Desirable Skills:",3.5,"PatientMD
3.5",Calcutta,-1,1001 to 5000 Employees,2000,Company - Private,Consulting,Business Services,$100 to $500 million (USD),http://www.fractal.ai/,83 %
"Data Scientist, Team Dimension",Job Type : Full-time,₹869K - ₹982K (Glassdoor est.),"LEAD DATA SCIENTIST - FRACTAL DIMENSION

ABOUT FRACTAL DIMENSION

Fractal Dimension is a small self-contained multi-disciplinary unit under the Group CEO. Our motto is to solve complex, unstructured problems which can't be solved by anyone else in Fractal. We will invent a new way of problem-solving which can be replicated by rest of Fractal in a year or so. Our team consists of Practioners in Data science, Behavioral science, Human-centered design, cloud-engineers, techno-functional domains and business consulting. Dimension problem-solving approach is as below:

Read our perspective on Personalization 2.0 & India's COVID Vaccination Program .

ABOUT THE ROLE

Your purpose, as a Data Science Specialist within the Dimension team, is to apply principles of AI and algorithmic decisioning in strategic ways and in collaboration with a cross-functional team, to help Fortune 250 organizations tackle their most complex challenges with intelligence, emotion, speed, at scale.

These challenges may be found within business strategy to corporate strategy, consumer strategy, innovation, and futureproofing.

You will be expected to take ownership of running programs across all three key activities mentioned above and as an early team member creating a new way of problem solving at Fractal, proving its efficacy, and taking it to market successfully.


Mastery in applying AI/ML and data science techniques to solve complex business problems

Exceptional breadth of knowledge in algorithmic techniques and their applications

Basic knowledge of cloud computing, big data and designing AI algorithms for scale

Ability to conduct extensive Secondary Research, keep a track of developments and industry-leading best practices in data science

Excellent orchestration (communication, client management, nudging for right information, identifying pain-points, managing escalations) in client workshops, client meetings, insights presentations

Facilitate co-creation within cross-functional teams and with Client's CXO teams

Deliver high-quality outputs with best-in-class frameworks with clear communication

Strategic thinking, Designing Solution Architecture and Frameworks based on strategy


Basic understanding of Design Theory and/or Behavioural Sciences

Work with the larger Fractal Client-facing Sales & account team on Go to market strategy for Dimension Labs, Perspectives & identification of opportunities

Generating solid thought leadership content for publishing to the press

The preferred location for this role is Mumbai, but can be based out of any other cities where Fractal has an office (Bangalore, Gurgaon, London, New York) as well.

Read more about us at fractal.ai/dimension

Team Fractal",4.0,"Fractal.ai
4.0",Mumbai,-1,51 to 200 Employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable,http://www.applieddatafinance.com/,99 %
Junior Data Scientist / Junior Data Analyst,Job Type : Full-time,₹399K - ₹713K (Glassdoor est.),"Job Title: Junior Data Scientist / Junior Data Analyst
Experience: 1 to 2 Years
Roles and Responsibilities:
People, with no prior experience in the field and/or domain will spend their initial months in understanding data, do basic analysis and validation, reports, to get deeper understanding of the business.
Candidates with prior relevant experience will work in development and implementation of predictive models and recommend actionable insights; they will use advanced machine learning techniques, among others, as per business requirements.
Qualification & Experience:",3.3,"Applied Data Finance
4.8",Chennai,-1,1 to 50 Employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,http://www.enterprisebot.org/,51 %
"Data Scientist - Machine Learning, Deep Learning, NLP",Job Type : Full-time,₹399K - ₹713K (Glassdoor est.),"At Enterprise Bot, we create AI-powered bots to automate customer interactions and provide enterprises with a readily accessible digital agent to improve customer experience and create operational efficiency. We are a cashflow positive startup that has been accelerated by Startupbootcamp, Plug and Play and the F10 in and are currently situated in the Generali Innovation Garage in Adliswil, Zurich.

Our current esteemed clients include companies in multiple domain across Europe & UK such as AfterPay, SIX Group, Generali Switzerland, PwC Switzerland, Swica, GoAhead Group, LNER among others with our focus on several languages such as English, German, French, Italian, Portuguese and Dutch.

Spread across three office locations with hardhearted in Switzerland, we are a team of over 50 super talented people of diverse nationality and culture. Fostering a truly open and progressive company culture with state-of-the-art engineering solutions - working at Enterprise Bot is a refreshing mix of purpose, challenge, and fun.

Tasks

We are looking for a full-time Data Scientist for our Bangalore office. As an integral part of the team, you will work within multi-disciplinary teams and with external collaborators to identify opportunities for leveraging data, developing proof-of-value prototypes and implementing data science solutions that solve R&D enterprise level problems in banking, finance and insurance industry.


Requirements

Benefits",3.3,"Enterprise Bot
3.3",Bangalore,-1,10000+ Employees,1995,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),http://www.hdfcbank.com/,63 %
RAU-Data Scientist,Job Type : Full-time,₹350K - ₹550K (Glassdoor est.),"Job Description
A) Scorecard Building and Modelling 1) Developing analytical models to assess risk profile of a customer / identifying cross-sell opportunities/fraud control for new and existing customers 2) Responsible for development and deployment of various scorecards / models for the credit risk / Retail asset products of the Bank within the specified timelines.
Ensure the deployment also is line with Banks strategies so as to gain maximum efficiencies.
3) Estimate probability of default arising out of the scorecards and monitor deviation from expected default rates.
4) Monitor portfolio and identify pockets of opportunity for business growth and risk alerts to control NPAs.",-1,HDFC Bank,Mumbai,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.itforte.com/,100 %
Data Analyst/Scientist,Job Type : Full-time,₹350K - ₹550K (Glassdoor est.),"Founded in 1987 and listed on NASDAQ, our client is headquartered in the USA and has an annual turnover of over USD 2+ Billion. They are a leading provider of technology solutions for small, medium, enterprises throughout the North America, Europe and Asia. Their comprehensive expertise and proven experience in advanced technologies and consulting & implementation services makes them the preferred partner for many global MNC customers

As a Data Analyst/ Scientist you will be responsible for reviewing, analysing and for gaining insights from the data stored in the BI data cubes as well as position BI for future uses such as machine learning and predictive analytics of sales behaviors.

Ket Responsibilities and Qualifications/Skills

Selecting features, building and optimizing classifiers using machine learning techniques",-1,itForte,Gurgaon,-1,10000+ Employees,1991,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),http://www.cyient.com/,56 %
TSP Technical CoE- AI/ML Data Scientist,Job Type : Full-time,"₹817K - ₹1,046K (Glassdoor est.)","Cyient is a global engineering and technology solutions company. As a Design, Build, and Maintain partner for leading organizations worldwide, we take solution ownership across the value chain to help clients focus on their core, innovate, and stay ahead of the curve. We leverage digital technologies, advanced analytics capabilities, and our domain knowledge and technical expertise, to solve complex business problems.
With over 15,000 employees globally, we partner with clients to operate as part of their extended team in ways that best suit their organization’s culture and requirements. Our industry focus includes aerospace and defence, healthcare, telecommunications, rail transportation, semiconductor, geospatial, industrial, and energy.
Job Description
AI/ML Data Scientist


Applied Machine Learning, Big Data Analytics, Data Science, Predictive Analytics",4.0,"Cyient
3.4",Hyderābād,-1,1001 to 5000 Employees,2000,Company - Private,Consulting,Business Services,$100 to $500 million (USD),http://www.fractal.ai/,83 %
Senior Data Scientist - Machine learning,Job Type : Full-time,"₹817K - ₹1,046K (Glassdoor est.)","About Fractal

Fractal is one of the most prominent players in the Artificial Intelligence space. Fractal's mission is to power every human decision in the enterprise and uses the power of AI to help the world's most admired Fortune 500 companies.

Job Responsibilities:
Work with product managers and clients to better understand the business problem

Think through a business problem and come up with a set of hypotheses

Create a list of potentially relevant supporting data elements

Work with data engineers and/or data analysts to procure data and test it for problems

Collaborate with other Data Scientists

Propose modeling approaches

Mine the data to check completeness, value distributions, etc.

Data imputation and feature engineering

Test data for signal

Run feature selection

Tune the model

Set up tests for the model health

Collaborate with product managers to find the best way to present the results

Work with developers on productionizing models

Must Have

A minimum of 6 years of post-academic experience developing advanced analytics and applying data science in a business environment

Experience in data mining techniques and methodologies (data prep/modeling, classification, regression, clustering, causal modeling, AI, machine learning, ensemble approaches)

Experience developing in Python within a production environment

Advanced experience in data visualization tools with a strong grasp of effective data modeling and visualization practices

The ability to rapidly develop proof of concepts and test new ideas, as well as the ability to scale these ideas into production ready models that can be deployed within our organization

Examples of how your passion for data driven decision making and intellectual curiosity translated in to value for your organization

Nice to Have

An advanced Degree (Masters or PhD) in engineering, mathematics, physics, economics, computer science, statistics, or business analytics or

Experience leveraging cloud platforms such as Amazon Web Services (AWS) and Google Cloud Platform (GCP)

Strong research skills and the ability to put emerging ideas into practice

Mandatory Skills

Machine Learning,AWS,GCP,Python,R,Tableau,PowerBI ,Data Exploration & Analysis",4.0,"Fractal.ai
4.0",Bangalore,-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),http://www.ibm.com/,78 %
Data Scientist,Job Type : Full-time,₹180K (Glassdoor est.),"Our Purpose and Challenges
With over 47% market-share, MakeMyTrip is India’s first and biggest travel company. In fact, one in every four passengers at an airport is our customer. Driven by the desire to provide an exceptional travel experience for our customers, we have continuously stayed ahead of the curve by developing technology and products to meet the ever-changing demands of the rapidly evolving travel ecosystem.

We are currently solving multiple challenging problems, including -
How to bring the next 100 million users to our platform?
How to leverage customer insights to create a truly personalised experience for users?
How to create a delightful experience for our users, to make travel synonymous to MMT?",4.3,"MakeMyTrip
4.3",Bangalore,-1,1001 to 5000 Employees,2000,Company - Public,Internet,Information Technology,$100 to $500 million (USD),http://www.makemytrip.com/,91 %
Data Scientist,Job Type : Full-time,₹180K (Glassdoor est.),"Our Purpose and Challenges
With over 47% market-share, MakeMyTrip is India’s first and biggest travel company. In fact, one in every four passengers at an airport is our customer. Driven by the desire to provide an exceptional travel experience for our customers, we have continuously stayed ahead of the curve by developing technology and products to meet the ever-changing demands of the rapidly evolving travel ecosystem.

We are currently solving multiple challenging problems, including -
How to bring the next 100 million users to our platform?
How to leverage customer insights to create a truly personalised experience for users?
How to create a delightful experience for our users, to make travel synonymous to MMT?",4.3,"MakeMyTrip
4.3",Bangalore,-1,10000+ Employees,1966,Company - Public,Financial Transaction Processing,Finance,$5 to $10 billion (USD),http://www.mastercard.com/,89 %
Associate Data Scientist,Job Type : Full-time,₹714K - ₹848K (Glassdoor est.),"Roles & Responsibilities Key / Primary Responsibilities of the Role - List the primary deliverables - Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress

Managing available resources so that project deadlines are met
Analyzing the ML algorithms that could be used to solve a busines problem and ranking them by their success probability
Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
Select appropriate datasets and data representation methods
Defining validation strategies
Job Requirements - Experience Experience Minimum Number of Years 3+ years of experience in Machine / Deep Learning Industry Any Functional Area The desired candidate must have",3.6,"IDFC FIRST Bank
3.6",Mumbai,-1,5001 to 10000 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,http://www.idfcbank.com/,60 %
Associate Data Scientist,Job Type : Full-time,₹714K - ₹848K (Glassdoor est.),"Roles & Responsibilities Key / Primary Responsibilities of the Role - List the primary deliverables - Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress

Managing available resources so that project deadlines are met
Analyzing the ML algorithms that could be used to solve a busines problem and ranking them by their success probability
Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the model in the real world
Select appropriate datasets and data representation methods
Defining validation strategies
Job Requirements - Experience Experience Minimum Number of Years 3+ years of experience in Machine / Deep Learning Industry Any Functional Area The desired candidate must have",3.6,"IDFC FIRST Bank
3.6",Mumbai,-1,10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.honeywell.com/,71 %
Data Scientist,Job Type : Full-time,₹350K - ₹636K (Glassdoor est.),"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.
Responsibilities
Conceptualize and develop machine learning (ML), data mining, and statistical techniques and algorithms to create new scalable SCP solutions for business problems by analysis of large amounts of data
Research, develop, test, and recommend mathematical models and algorithms for inclusion in SCP products
Create detailed documentation outlining the design and technical specifications of solutions",5.0,"VM3 Tech Solutions LLP
5.0",Pune,-1,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.vm3techsolution.com/,N/A
AI Scientist,Job Type : Full-time,₹462K - ₹750K (Glassdoor est.),"AI Scientist
Office: Mumbai, India | Remote-work for the time being

About Us
Most of the world’s digital information was created in the last few years with the vast majority of that information being unstructured in the form of text, tweets, videos, images, blogs, etc. The rate of growth of digital information vastly exceeds our biological processing abilities. The consequence for investors is that it’s becoming harder to make sense of the factors that drive financial markets. Acting upon partial understanding of vast quantities of information (i.e., heuristics) infuses investment decisions with cognitive biases. In order to beat markets and make money, humans need to augment their reasoning capacity, consider the relevance of more information, and make bias-free decisions.
At Accrete.AI, our vision is to help investors generate alpha, or excess returns, by training machines to think in the language of the markets. We leverage deep learning and Machine Augmented Collective Intelligence (MACI) to train machines to reason and learn so they can help human investors make better investment decisions.",-1,Accrete.AI,Mumbai,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.accrete.ai/,100 %
